"Order ID","Sale Date","Sale price","COGS","Status","Store Name","Store Id","Customer Invoice Number"
"f4gt-dgxt","2020-07-16 18:10:27.307000","79.0","59.38","done","PandaNow (Wattana)","f4gt","ABB-0000006007"
"f3mt-o41b","2020-07-16 18:16:43.161000","65.0","45.56","done","PandaNow (Sathorn)","f3mt","ABB-0000006009"
"f0yg-prcl","2020-07-16 18:28:48.802000","68.0","52.50","done","PandaNow (Lat Phrao)","f0yg","ABB-0000006010"
"f3mt-z1mx","2020-07-16 18:31:16.686000","105.0","85.84","done","PandaNow (Sathorn)","f3mt","ABB-0000006011"
"f6cs-yaiw","2020-07-16 18:32:56.382000","50.0","40.31","done","PandaNow (Ngamwongwan)","f6cs","ABB-0000006012"
"f4gt-qibc","2020-07-16 18:39:15.816000","199.0","146.12","done","PandaNow (Wattana)","f4gt","ABB-0000006013"
"f3mt-kdsg","2020-07-16 18:48:57.201000","78.0","89.72","done","PandaNow (Sathorn)","f3mt","ABB-0000006014"
"f3mt-8vx3","2020-07-16 18:49:05.280000","50.0","90.58","done","PandaNow (Sathorn)","f3mt","ABB-0000006015"
"f0yg-pggm","2020-07-16 19:08:45.300000","130.0","91.12","done","PandaNow (Lat Phrao)","f0yg","ABB-0000006016"
"f4gt-d7zp","2020-07-16 19:11:25.316000","68.0","56.97","done","PandaNow (Wattana)","f4gt","ABB-0000006017"
"f4gt-4byz","2020-07-16 19:17:57.618000","152.0","115.16","done","PandaNow (Wattana)","f4gt","ABB-0000006018"
"f4gt-xts7","2020-07-16 19:20:35.291000","52.0","49.07","done","PandaNow (Wattana)","f4gt","ABB-0000006019"
"f0yg-sfbw","2020-07-16 19:41:13.397000","155.0","106.44","done","PandaNow (Lat Phrao)","f0yg","ABB-0000006021"
"f4gt-a1ok","2020-07-16 19:44:27.616000","64.0","55.23","done","PandaNow (Wattana)","f4gt","ABB-0000006020"
"f0yg-34ku","2020-07-16 19:46:29.921000","146.0","109.31","done","PandaNow (Lat Phrao)","f0yg","ABB-0000006022"
"f3mt-ohtt","2020-07-16 19:47:49.507000","50.0","90.58","done","PandaNow (Sathorn)","f3mt","ABB-0000006023"
"f3mt-9d31","2020-07-16 19:47:54.339000","62.0","88.98","cancel","PandaNow (Sathorn)","f3mt","20207238"
"f4gt-wmpy","2020-07-16 19:51:49.859000","510.36","422.95","done","PandaNow (Wattana)","f4gt","ABB-0000006024"
"f3mt-sjft","2020-07-16 19:54:18.743000","62.0","88.98","done","PandaNow (Sathorn)","f3mt","ABB-0000006025"
"f3mt-erjy","2020-07-16 19:57:51.789000","307.0","240.09","done","PandaNow (Sathorn)","f3mt","ABB-0000006027"
"f0yg-k3qz","2020-07-16 19:59:03.081000","123.0","92.45","done","PandaNow (Lat Phrao)","f0yg","ABB-0000006026"
"f0yg-uoiq","2020-07-16 20:03:17.654000","441.0","339.56","done","PandaNow (Lat Phrao)","f0yg","ABB-0000006028"
"f4gt-xkdd","2020-07-16 20:05:57.888000","50.0","35.85","done","PandaNow (Wattana)","f4gt","ABB-0000006029"
"f0yg-erxl","2020-07-16 20:07:19.835000","255.0","200.91","done","PandaNow (Lat Phrao)","f0yg","ABB-0000006030"
